[2026-06-17T17:36:16.751Z] Path: /api/chat | Error: {"error":"Unknown column 'reactions' in 'field list'"}
[2026-06-18T07:06:14.622Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:06:14.624Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:06:14.626Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:06:14.637Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:06:14.639Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:06:14.659Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:06:14.692Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:07:14.634Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:07:14.636Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:07:14.638Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:07:14.645Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:07:14.663Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:07:14.676Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:07:14.712Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:08:14.630Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:08:14.632Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:08:14.633Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:08:14.643Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:08:14.653Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:08:14.680Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:08:14.703Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:09:14.624Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:09:14.626Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:09:14.627Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:09:14.630Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:09:14.637Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:09:14.657Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:09:14.677Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:10:14.623Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:10:14.628Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:10:14.630Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:10:14.637Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:10:14.639Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:10:14.662Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:10:14.680Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:11:14.624Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:11:14.626Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:11:14.630Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:11:14.637Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:11:14.639Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:11:14.660Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:11:14.679Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:14.610Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:14.633Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:14.648Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:14.651Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:14.653Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:14.655Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:14.706Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:38.405Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:38.469Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:38.486Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:38.559Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:38.723Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:38.864Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:38.939Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
